Item ID,Reference,Quantity,Value,Footprint,Manufacturer1,Manufacturer1PartNumber
1,P1,1,Conn_USB_5+Shell,CONN_USB3150_microB_THT_vert,GCT,USB3150-30-075-A
2,P2,1,Conn_Basic_10_pin,CONN_5034801000_MOLEX_FFC_10pin,MOLEX,5034801000
