Reference, Value, Footprint, Datasheet, Manufacturer1, Manufacturer1PartNumber
"P1","Conn_USB_5+Shell","Footprints:CONN_USB3150_microB_THT_vert","","GCT","USB3150-30-075-A"
"P2","Conn_Basic_10_pin","Footprints:CONN_5034801000_MOLEX_FFC_10pin","","MOLEX","5034801000"
